Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
SBIN,2019-02-07,289.4,294.0,286.6,287.4,0.0,19733315,0,0,0.0
SBIN,2019-02-08,285.6,288.0,282.2,286.0,0.0,19781908,0,0,0.0
SBIN,2019-02-11,285.95,285.95,280.0,280.5,0.0,15420017,0,0,0.0
SBIN,2019-02-12,280.65,282.2,274.65,275.4,0.0,15326106,0,0,0.0
SBIN,2019-02-13,276.5,276.7,266.7,268.2,0.0,18662893,0,0,0.0
SBIN,2019-02-14,268.0,268.35,263.65,267.1,0.0,26372671,0,0,0.0
SBIN,2019-02-15,268.85,268.85,261.3,262.95,0.0,23366091,0,0,0.0
SBIN,2019-02-18,264.4,265.5,258.8,259.95,0.0,14781744,0,0,0.0
SBIN,2019-02-19,260.9,267.5,260.3,262.9,0.0,19064306,0,0,0.0
SBIN,2019-02-20,264.5,268.3,264.3,267.7,0.0,15514595,0,0,0.0
SBIN,2019-02-21,270.3,271.0,267.3,268.0,0.0,13760702,0,0,0.0
SBIN,2019-02-22,267.9,271.9,267.6,270.95,0.0,12536918,0,0,0.0
SBIN,2019-02-25,271.3,271.4,267.9,270.15,0.0,20793897,0,0,0.0
SBIN,2019-02-26,266.8,268.2,263.25,266.35,0.0,15274303,0,0,0.0
SBIN,2019-02-27,268.0,272.7,266.55,267.65,0.0,20571652,0,0,0.0
SBIN,2019-02-28,267.7,270.8,267.65,269.05,0.0,31636468,0,0,0.0
SBIN,2019-03-01,270.55,274.6,270.1,272.95,0.0,20024726,0,0,0.0
SBIN,2019-03-05,271.7,277.85,271.2,276.45,0.0,21533972,0,0,0.0
SBIN,2019-03-06,277.3,282.55,276.45,278.1,0.0,22161376,0,0,0.0
SBIN,2019-03-07,279.45,282.5,277.65,281.75,0.0,14899105,0,0,0.0
SBIN,2019-03-08,281.85,284.25,279.6,281.2,0.0,19943319,0,0,0.0
SBIN,2019-03-11,285.3,289.0,283.5,287.35,0.0,22931245,0,0,0.0
SBIN,2019-03-12,289.2,289.9,285.75,286.9,0.0,20828136,0,0,0.0
SBIN,2019-03-13,288.1,294.4,284.7,293.15,0.0,23725641,0,0,0.0
SBIN,2019-03-14,294.5,294.7,290.75,291.9,0.0,16164017,0,0,0.0
SBIN,2019-03-15,292.6,301.3,292.5,298.4,0.0,37928480,0,0,0.0
SBIN,2019-03-18,298.9,300.9,294.65,298.95,0.0,23782967,0,0,0.0
SBIN,2019-03-19,300.15,306.6,299.15,303.05,0.0,27218691,0,0,0.0
SBIN,2019-03-20,302.8,304.65,300.05,303.8,0.0,18820555,0,0,0.0
SBIN,2019-03-22,304.3,306.4,296.95,298.05,0.0,17865957,0,0,0.0
SBIN,2019-03-25,294.0,295.45,292.2,294.0,0.0,16895511,0,0,0.0
SBIN,2019-03-26,294.75,305.0,294.75,303.5,0.0,18303791,0,0,0.0
SBIN,2019-03-27,305.25,310.85,304.35,308.8,0.0,35956450,0,0,0.0
SBIN,2019-03-28,310.1,339.65,309.05,319.0,0.0,63244736,0,0,0.0
SBIN,2019-03-29,321.1,323.0,316.25,320.75,0.0,30394717,0,0,0.0
SBIN,2019-04-01,321.8,327.65,321.05,322.75,0.0,22372357,0,0,0.0
SBIN,2019-04-02,323.65,331.0,322.1,329.0,0.0,27897583,0,0,0.0
SBIN,2019-04-03,331.0,332.45,319.5,320.5,0.0,30552104,0,0,0.0
SBIN,2019-04-04,321.5,325.75,318.3,321.8,0.0,27832294,0,0,0.0
SBIN,2019-04-05,323.7,323.7,315.0,317.05,0.0,23117232,0,0,0.0
SBIN,2019-04-08,318.25,319.25,311.1,312.8,0.0,17394139,0,0,0.0
SBIN,2019-04-09,313.95,315.7,308.1,314.75,0.0,25556039,0,0,0.0
SBIN,2019-04-10,314.85,317.05,310.0,310.9,0.0,19237974,0,0,0.0
SBIN,2019-04-11,311.0,315.4,308.7,314.9,0.0,14897935,0,0,0.0
SBIN,2019-04-12,314.6,316.4,311.2,315.25,0.0,14751964,0,0,0.0
SBIN,2019-04-15,315.5,318.7,313.75,315.6,0.0,13864791,0,0,0.0
SBIN,2019-04-16,316.6,319.4,314.7,315.75,0.0,14940726,0,0,0.0
SBIN,2019-04-18,315.8,315.8,308.05,310.8,0.0,15691168,0,0,0.0
SBIN,2019-04-22,308.8,312.3,306.35,310.05,0.0,15665440,0,0,0.0
SBIN,2019-04-23,310.05,313.75,304.6,305.25,0.0,17324274,0,0,0.0
SBIN,2019-04-24,305.85,311.95,303.6,310.75,0.0,15228591,0,0,0.0
SBIN,2019-04-25,311.0,312.0,305.4,306.2,0.0,30842477,0,0,0.0
SBIN,2019-04-26,306.9,313.5,306.6,312.5,0.0,14987906,0,0,0.0
SBIN,2019-04-30,312.0,312.0,305.0,309.95,0.0,18178758,0,0,0.0
SBIN,2019-05-02,308.05,311.4,305.65,308.15,0.0,16640100,0,0,0.0
SBIN,2019-05-03,309.0,311.8,308.8,310.0,0.0,12452689,0,0,0.0
SBIN,2019-05-06,306.8,310.3,305.9,308.75,0.0,10639216,0,0,0.0
SBIN,2019-05-07,310.7,313.4,303.75,305.45,0.0,15219845,0,0,0.0
SBIN,2019-05-08,303.95,305.3,296.75,298.25,0.0,22103678,0,0,0.0
SBIN,2019-05-09,297.6,301.0,296.1,299.3,0.0,12654440,0,0,0.0
SBIN,2019-05-10,301.8,310.75,292.45,308.05,0.0,60739833,0,0,0.0
SBIN,2019-05-13,310.0,314.2,305.3,306.9,0.0,40101505,0,0,0.0
SBIN,2019-05-14,307.85,316.75,305.1,314.65,0.0,30521436,0,0,0.0
SBIN,2019-05-15,316.2,317.9,311.0,312.1,0.0,27932459,0,0,0.0
SBIN,2019-05-16,312.5,317.1,309.55,315.75,0.0,18147559,0,0,0.0
SBIN,2019-05-17,315.65,321.95,313.45,319.25,0.0,25838962,0,0,0.0
SBIN,2019-05-20,332.0,345.8,331.0,344.7,0.0,53207071,0,0,0.0
SBIN,2019-05-21,345.9,347.55,336.25,337.55,0.0,33457162,0,0,0.0
SBIN,2019-05-22,338.9,342.6,333.55,341.1,0.0,32002499,0,0,0.0
SBIN,2019-05-23,353.0,364.0,339.2,342.2,0.0,74413322,0,0,0.0
SBIN,2019-05-24,344.95,357.0,343.5,355.35,0.0,35703403,0,0,0.0
SBIN,2019-05-27,355.05,362.5,354.0,361.7,0.0,31374994,0,0,0.0
SBIN,2019-05-28,360.95,361.7,356.65,360.05,0.0,23501608,0,0,0.0
SBIN,2019-05-29,358.0,359.0,347.15,348.65,0.0,28370210,0,0,0.0
SBIN,2019-05-30,349.75,355.0,347.5,353.55,0.0,25712604,0,0,0.0
SBIN,2019-05-31,354.35,357.9,344.65,352.5,0.0,32588069,0,0,0.0
SBIN,2019-06-03,352.35,356.45,349.65,355.45,0.0,18380919,0,0,0.0
SBIN,2019-06-04,354.0,357.2,351.4,352.4,0.0,18130636,0,0,0.0
SBIN,2019-06-06,349.0,349.6,335.9,336.9,0.0,41941144,0,0,0.0
SBIN,2019-06-07,337.0,342.75,336.0,342.05,0.0,29739710,0,0,0.0
SBIN,2019-06-10,346.0,347.3,340.15,344.3,0.0,20500542,0,0,0.0
SBIN,2019-06-11,345.05,348.3,342.85,347.1,0.0,16281297,0,0,0.0
SBIN,2019-06-12,346.95,346.95,342.3,344.0,0.0,11564970,0,0,0.0
SBIN,2019-06-13,343.0,347.45,339.8,346.5,0.0,15509948,0,0,0.0
SBIN,2019-06-14,345.5,346.35,342.55,343.8,0.0,10347594,0,0,0.0
SBIN,2019-06-17,343.75,343.75,336.95,337.85,0.0,13779496,0,0,0.0
SBIN,2019-06-18,335.5,344.0,333.8,340.05,0.0,21957480,0,0,0.0
SBIN,2019-06-19,343.1,345.2,335.5,338.85,0.0,16416903,0,0,0.0
SBIN,2019-06-20,341.0,346.25,335.6,345.15,0.0,20626861,0,0,0.0
SBIN,2019-06-21,344.8,350.7,343.15,349.4,0.0,24749090,0,0,0.0
SBIN,2019-06-24,350.0,354.75,349.65,353.2,0.0,17919504,0,0,0.0
SBIN,2019-06-25,352.7,357.0,351.25,356.55,0.0,15922634,0,0,0.0
SBIN,2019-06-26,355.75,359.0,354.3,358.15,0.0,15835579,0,0,0.0
SBIN,2019-06-27,358.1,363.0,357.25,362.15,0.0,29658120,0,0,0.0
SBIN,2019-06-28,362.2,365.0,358.7,361.25,0.0,22708464,0,0,0.0
SBIN,2019-07-01,362.8,363.0,358.5,361.55,0.0,12348793,0,0,0.0
SBIN,2019-07-02,362.15,365.0,360.35,364.5,0.0,14482172,0,0,0.0
SBIN,2019-07-03,365.25,366.7,363.0,366.15,0.0,12626285,0,0,0.0
SBIN,2019-07-04,367.25,370.9,366.2,367.4,0.0,19252646,0,0,0.0
SBIN,2019-07-05,369.45,373.6,366.0,370.65,0.0,30019347,0,0,0.0
SBIN,2019-07-08,368.0,368.45,353.5,355.3,0.0,27247892,0,0,0.0
SBIN,2019-07-09,353.5,360.0,352.5,359.5,0.0,16579914,0,0,0.0
SBIN,2019-07-10,360.55,361.5,351.3,354.2,0.0,18681819,0,0,0.0
SBIN,2019-07-11,358.5,364.0,357.0,363.2,0.0,20048321,0,0,0.0
SBIN,2019-07-12,363.0,366.55,361.5,363.6,0.0,14661748,0,0,0.0
SBIN,2019-07-15,364.1,365.0,357.6,360.05,0.0,15665939,0,0,0.0
SBIN,2019-07-16,358.5,366.0,357.65,364.35,0.0,16251836,0,0,0.0
SBIN,2019-07-17,364.05,373.55,363.05,372.4,0.0,17545177,0,0,0.0
SBIN,2019-07-18,371.95,373.8,362.55,363.65,0.0,21691056,0,0,0.0
SBIN,2019-07-19,365.1,366.05,355.15,356.0,0.0,22213173,0,0,0.0
SBIN,2019-07-22,356.0,359.55,348.7,350.85,0.0,19682038,0,0,0.0
SBIN,2019-07-23,351.2,353.0,341.0,342.2,0.0,27956145,0,0,0.0
SBIN,2019-07-24,341.85,344.7,336.25,339.6,0.0,20823143,0,0,0.0
SBIN,2019-07-25,341.7,343.2,337.4,341.3,0.0,19857643,0,0,0.0
SBIN,2019-07-26,340.8,346.15,340.5,342.6,0.0,16139052,0,0,0.0
SBIN,2019-07-29,343.95,346.55,336.8,343.8,0.0,17060483,0,0,0.0
SBIN,2019-07-30,344.4,346.7,325.85,327.55,0.0,24437235,0,0,0.0
SBIN,2019-07-31,325.1,333.2,323.9,332.2,0.0,22741445,0,0,0.0
SBIN,2019-08-01,330.8,331.5,311.35,317.15,0.0,40853304,0,0,0.0
SBIN,2019-08-02,315.55,322.25,307.05,308.45,0.0,64472348,0,0,0.0
SBIN,2019-08-05,298.45,302.85,291.7,300.25,0.0,48815899,0,0,0.0
SBIN,2019-08-06,298.8,304.25,297.25,301.4,0.0,30442970,0,0,0.0
SBIN,2019-08-07,302.4,302.45,288.8,289.9,0.0,30820114,0,0,0.0
SBIN,2019-08-08,290.0,295.5,285.6,294.35,0.0,32929233,0,0,0.0
SBIN,2019-08-09,296.3,298.0,290.05,291.35,0.0,23377581,0,0,0.0
SBIN,2019-08-13,290.9,291.55,282.5,283.35,0.0,24231272,0,0,0.0
SBIN,2019-08-14,285.05,291.25,284.5,289.75,0.0,18523649,0,0,0.0
SBIN,2019-08-16,287.95,292.8,284.3,290.9,0.0,20047399,0,0,0.0
SBIN,2019-08-19,292.0,292.4,286.0,286.85,0.0,19831459,0,0,0.0
SBIN,2019-08-20,287.3,287.4,280.65,283.7,0.0,23204417,0,0,0.0
SBIN,2019-08-21,285.5,285.6,276.3,277.4,0.0,28226325,0,0,0.0
SBIN,2019-08-22,278.3,278.3,267.3,268.55,0.0,27728925,0,0,0.0
SBIN,2019-08-23,267.1,275.25,262.7,271.1,0.0,35212444,0,0,0.0
SBIN,2019-08-26,288.0,288.0,270.0,280.2,0.0,64066440,0,0,0.0
SBIN,2019-08-27,284.0,288.0,282.6,285.7,0.0,45164811,0,0,0.0
SBIN,2019-08-28,286.65,286.65,282.2,284.9,0.0,18979998,0,0,0.0
SBIN,2019-08-29,283.2,284.3,273.3,274.5,0.0,27083514,0,0,0.0
SBIN,2019-08-30,275.95,277.95,266.85,273.85,0.0,45702652,0,0,0.0
SBIN,2019-09-03,272.0,272.0,266.95,268.4,0.0,21241863,0,0,0.0
SBIN,2019-09-04,269.7,275.85,267.25,275.1,0.0,27309675,0,0,0.0
SBIN,2019-09-05,275.0,276.35,271.05,273.3,0.0,25085139,0,0,0.0
SBIN,2019-09-06,275.05,277.0,272.1,273.95,0.0,16675146,0,0,0.0
SBIN,2019-09-09,273.95,278.7,271.0,278.0,0.0,18616889,0,0,0.0
SBIN,2019-09-11,278.5,285.85,278.5,285.25,0.0,20999669,0,0,0.0
SBIN,2019-09-12,286.75,288.8,284.15,287.05,0.0,21964832,0,0,0.0
SBIN,2019-09-13,285.0,292.5,282.0,291.7,0.0,27303181,0,0,0.0
SBIN,2019-09-16,288.2,290.45,283.8,284.7,0.0,18267680,0,0,0.0
SBIN,2019-09-17,285.0,286.45,273.0,273.95,0.0,21533362,0,0,0.0
SBIN,2019-09-18,277.2,282.95,274.4,280.4,0.0,25478758,0,0,0.0
SBIN,2019-09-19,279.95,279.95,273.05,274.05,0.0,23387797,0,0,0.0
SBIN,2019-09-20,274.5,307.65,268.4,301.7,0.0,84481749,0,0,0.0
SBIN,2019-09-23,307.55,316.0,300.4,313.75,0.0,54178171,0,0,0.0
SBIN,2019-09-24,313.15,315.15,300.8,302.6,0.0,40096711,0,0,0.0
SBIN,2019-09-25,297.0,297.5,278.7,280.25,0.0,73063465,0,0,0.0
SBIN,2019-09-26,281.5,289.9,277.0,281.85,0.0,79005946,0,0,0.0
SBIN,2019-09-27,282.7,286.05,280.0,281.2,0.0,37851718,0,0,0.0
SBIN,2019-09-30,281.4,281.85,270.15,270.8,0.0,41094131,0,0,0.0
SBIN,2019-10-01,272.75,275.5,245.55,255.95,0.0,79350077,0,0,0.0
SBIN,2019-10-03,254.0,260.7,250.1,254.15,0.0,56207921,0,0,0.0
SBIN,2019-10-04,258.5,260.5,248.55,249.95,0.0,60029186,0,0,0.0
SBIN,2019-10-07,251.5,253.4,246.85,249.1,0.0,39160623,0,0,0.0
SBIN,2019-10-09,250.1,262.0,244.35,260.95,0.0,60328507,0,0,0.0
SBIN,2019-10-10,258.0,258.0,252.6,254.15,0.0,37577511,0,0,0.0
SBIN,2019-10-11,256.2,261.4,251.5,254.55,0.0,43272106,0,0,0.0
SBIN,2019-10-14,256.95,259.4,254.0,255.45,0.0,28265136,0,0,0.0
SBIN,2019-10-15,256.45,259.9,254.8,258.45,0.0,23444973,0,0,0.0
SBIN,2019-10-16,259.3,261.95,255.0,256.05,0.0,30892295,0,0,0.0
SBIN,2019-10-17,256.4,266.0,255.6,265.45,0.0,37061013,0,0,0.0
SBIN,2019-10-18,264.4,271.35,263.2,269.65,0.0,33203721,0,0,0.0
SBIN,2019-10-22,270.4,275.0,268.5,270.5,0.0,27574295,0,0,0.0
SBIN,2019-10-23,270.75,277.8,268.65,275.45,0.0,31789622,0,0,0.0
SBIN,2019-10-24,276.0,277.65,248.65,262.5,0.0,63943183,0,0,0.0
SBIN,2019-10-25,265.8,284.15,263.55,281.55,0.0,105518180,0,0,0.0
SBIN,2019-10-29,283.15,285.0,278.55,280.65,0.0,51033578,0,0,0.0
SBIN,2019-10-30,283.0,291.0,279.25,289.9,0.0,51469048,0,0,0.0
SBIN,2019-10-31,293.35,317.8,292.75,312.4,0.0,128449327,0,0,0.0
SBIN,2019-11-01,312.4,315.0,308.6,313.55,0.0,44894016,0,0,0.0
SBIN,2019-11-04,316.0,319.0,312.35,314.3,0.0,31535656,0,0,0.0
SBIN,2019-11-05,313.9,322.0,312.8,319.2,0.0,50080853,0,0,0.0
SBIN,2019-11-06,318.95,318.95,314.0,317.55,0.0,32157080,0,0,0.0
SBIN,2019-11-07,318.25,323.3,316.8,318.15,0.0,33926772,0,0,0.0
SBIN,2019-11-08,316.2,321.0,314.5,316.0,0.0,25423362,0,0,0.0
SBIN,2019-11-11,314.7,319.65,313.1,318.25,0.0,20491942,0,0,0.0
SBIN,2019-11-13,316.05,318.6,305.65,306.8,0.0,32675829,0,0,0.0
SBIN,2019-11-14,306.95,309.5,299.7,306.0,0.0,43617772,0,0,0.0
SBIN,2019-11-15,312.0,323.7,310.05,321.9,0.0,95199897,0,0,0.0
SBIN,2019-11-18,324.0,329.85,323.75,325.1,0.0,39009263,0,0,0.0
SBIN,2019-11-19,325.8,331.8,322.1,330.4,0.0,41372145,0,0,0.0
SBIN,2019-11-20,332.0,332.5,325.1,328.8,0.0,29972583,0,0,0.0
SBIN,2019-11-21,329.25,332.85,326.55,331.35,0.0,34116162,0,0,0.0
SBIN,2019-11-22,331.45,333.8,328.25,329.3,0.0,28974967,0,0,0.0
SBIN,2019-11-25,329.0,337.5,328.35,336.1,0.0,27561300,0,0,0.0
SBIN,2019-11-26,338.0,340.0,332.6,335.5,0.0,36464072,0,0,0.0
SBIN,2019-11-27,335.95,345.55,334.05,343.55,0.0,33971305,0,0,0.0
SBIN,2019-11-28,346.85,351.0,344.5,349.3,0.0,42538227,0,0,0.0
SBIN,2019-11-29,348.85,348.85,340.6,341.85,0.0,23081823,0,0,0.0
SBIN,2019-12-02,343.9,344.35,336.2,338.5,0.0,20648850,0,0,0.0
SBIN,2019-12-03,341.0,342.95,333.35,336.25,0.0,26482178,0,0,0.0
SBIN,2019-12-04,334.1,342.95,331.85,341.85,0.0,26789483,0,0,0.0
SBIN,2019-12-05,343.0,344.6,335.15,336.2,0.0,30429507,0,0,0.0
SBIN,2019-12-06,336.7,337.65,318.0,320.0,0.0,47027528,0,0,0.0
SBIN,2019-12-09,318.95,327.65,314.75,316.7,0.0,52435239,0,0,0.0
SBIN,2019-12-10,317.2,322.65,312.25,313.4,0.0,52155809,0,0,0.0
SBIN,2019-12-11,311.2,315.75,308.0,312.8,0.0,52557951,0,0,0.0
SBIN,2019-12-12,314.0,322.95,313.55,321.85,0.0,37804216,0,0,0.0
SBIN,2019-12-13,325.2,333.45,325.0,332.55,0.0,40955226,0,0,0.0
SBIN,2019-12-16,335.95,337.25,330.8,331.85,0.0,35027613,0,0,0.0
SBIN,2019-12-17,333.25,335.75,330.65,332.9,0.0,26734601,0,0,0.0
SBIN,2019-12-18,335.0,335.55,325.8,326.95,0.0,26449075,0,0,0.0
SBIN,2019-12-19,327.35,329.6,324.5,328.15,0.0,27516289,0,0,0.0
SBIN,2019-12-20,330.35,339.5,330.35,337.85,0.0,51839714,0,0,0.0
SBIN,2019-12-23,335.7,338.85,330.35,332.4,0.0,30150335,0,0,0.0
SBIN,2019-12-24,333.2,334.2,329.2,331.45,0.0,21747782,0,0,0.0
SBIN,2019-12-26,333.0,333.45,328.1,329.85,0.0,24616942,0,0,0.0
SBIN,2019-12-27,333.4,338.35,333.0,337.25,0.0,33477173,0,0,0.0
SBIN,2019-12-30,337.75,337.85,332.5,334.4,0.0,22775554,0,0,0.0
SBIN,2019-12-31,334.4,336.35,332.55,333.75,0.0,23801635,0,0,0.0
SBIN,2020-01-01,334.7,335.95,332.15,334.45,0.0,17379320,0,0,0.0
SBIN,2020-01-02,334.5,339.85,333.35,339.3,0.0,20324236,0,0,0.0
SBIN,2020-01-03,337.95,337.95,332.0,333.7,0.0,21853208,0,0,0.0
SBIN,2020-01-06,331.7,331.7,317.7,319.0,0.0,35645325,0,0,0.0
SBIN,2020-01-07,324.45,327.0,315.4,318.4,0.0,50966826,0,0,0.0
SBIN,2020-01-08,312.1,321.5,311.0,319.8,0.0,44527485,0,0,0.0
SBIN,2020-01-09,326.9,331.4,325.0,330.2,0.0,40348407,0,0,0.0
SBIN,2020-01-10,331.0,337.95,328.1,332.25,0.0,42377838,0,0,0.0
SBIN,2020-01-13,334.0,335.45,329.05,330.75,0.0,23615129,0,0,0.0
SBIN,2020-01-14,329.8,331.7,326.5,328.0,0.0,26296117,0,0,0.0
SBIN,2020-01-15,329.0,329.2,322.35,324.25,0.0,32625740,0,0,0.0
SBIN,2020-01-16,324.0,326.9,322.35,323.3,0.0,26653623,0,0,0.0
SBIN,2020-01-17,313.0,323.5,310.1,318.0,0.0,58396326,0,0,0.0
SBIN,2020-01-20,321.0,321.45,313.4,314.0,0.0,30682902,0,0,0.0
SBIN,2020-01-21,313.8,316.95,312.0,313.7,0.0,30591772,0,0,0.0
SBIN,2020-01-22,317.0,317.0,313.7,316.15,0.0,24994911,0,0,0.0
SBIN,2020-01-23,316.0,324.8,314.15,323.2,0.0,33293610,0,0,0.0
SBIN,2020-01-24,323.5,327.3,321.15,324.05,0.0,22706879,0,0,0.0
SBIN,2020-01-27,320.9,322.0,315.8,316.2,0.0,23309355,0,0,0.0
SBIN,2020-01-28,317.95,320.0,311.05,315.1,0.0,26488426,0,0,0.0
SBIN,2020-01-29,317.85,319.7,315.55,316.45,0.0,23914114,0,0,0.0
SBIN,2020-01-30,316.75,316.75,305.65,310.7,0.0,35802330,0,0,0.0
SBIN,2020-01-31,313.7,321.7,308.6,318.45,0.0,92656638,0,0,0.0
SBIN,2020-02-03,303.0,306.85,295.35,298.1,0.0,56060158,0,0,0.0
SBIN,2020-02-04,302.9,307.55,297.1,306.25,0.0,51141567,0,0,0.0
SBIN,2020-02-05,306.9,313.65,304.6,311.0,0.0,35014841,0,0,0.0
SBIN,2020-02-06,311.2,323.5,310.1,321.95,0.0,57757656,0,0,0.0
SBIN,2020-02-07,321.5,325.0,318.4,320.55,0.0,37126803,0,0,0.0
SBIN,2020-02-10,319.8,322.8,316.5,318.5,0.0,24816396,0,0,0.0
SBIN,2020-02-11,321.05,325.8,321.05,324.35,0.0,30188757,0,0,0.0
SBIN,2020-02-12,329.9,329.9,319.25,320.2,0.0,38930849,0,0,0.0
SBIN,2020-02-13,322.0,330.95,322.0,327.45,0.0,62516057,0,0,0.0
SBIN,2020-02-14,328.1,331.9,318.55,319.4,0.0,48205947,0,0,0.0
SBIN,2020-02-17,320.95,321.15,311.65,314.2,0.0,36950692,0,0,0.0
SBIN,2020-02-18,315.4,319.2,309.4,317.55,0.0,38588583,0,0,0.0
SBIN,2020-02-19,322.3,324.0,317.25,320.35,0.0,39846727,0,0,0.0
SBIN,2020-02-20,319.35,329.2,318.75,327.65,0.0,40150409,0,0,0.0
SBIN,2020-02-24,325.75,331.3,321.85,322.95,0.0,45273936,0,0,0.0
SBIN,2020-02-25,325.9,328.15,322.2,326.8,0.0,39050709,0,0,0.0
SBIN,2020-02-26,324.85,330.8,324.2,328.2,0.0,43915281,0,0,0.0
SBIN,2020-02-27,328.0,330.0,318.0,321.95,0.0,47010040,0,0,0.0
SBIN,2020-02-28,312.0,314.65,301.1,303.0,0.0,59705346,0,0,0.0
SBIN,2020-03-02,311.0,312.0,284.05,287.4,0.0,66711413,0,0,0.0
SBIN,2020-03-03,293.0,294.4,285.3,289.85,0.0,61949382,0,0,0.0
SBIN,2020-03-04,291.8,293.0,275.1,285.3,0.0,73675736,0,0,0.0
SBIN,2020-03-05,290.9,298.4,270.0,288.5,0.0,149245973,0,0,0.0
SBIN,2020-03-06,268.0,274.4,253.95,270.5,0.0,106043172,0,0,0.0
SBIN,2020-03-09,260.05,262.75,251.15,253.45,0.0,101294751,0,0,0.0
SBIN,2020-03-11,253.0,258.5,243.1,245.1,0.0,90847179,0,0,0.0
SBIN,2020-03-12,231.9,231.9,208.6,212.6,0.0,99770256,0,0,0.0
SBIN,2020-03-13,200.0,248.8,184.65,242.0,0.0,155703140,0,0,0.0
SBIN,2020-03-16,227.9,231.4,220.6,223.35,0.0,75584607,0,0,0.0
SBIN,2020-03-17,227.2,229.9,212.05,215.15,0.0,65414721,0,0,0.0
SBIN,2020-03-18,221.0,223.15,200.1,215.2,0.0,101405421,0,0,0.0
SBIN,2020-03-19,202.95,219.75,198.15,203.65,0.0,93535977,0,0,0.0
SBIN,2020-03-20,205.55,215.7,200.0,209.85,0.0,77393021,0,0,0.0
SBIN,2020-03-23,190.0,199.5,180.25,181.6,0.0,61751758,0,0,0.0
SBIN,2020-03-24,190.95,191.95,173.55,183.2,0.0,67492010,0,0,0.0
SBIN,2020-03-25,178.0,195.25,176.45,189.9,0.0,71568237,0,0,0.0
SBIN,2020-03-26,191.55,201.0,185.1,192.75,0.0,107260674,0,0,0.0
SBIN,2020-03-27,202.0,211.9,195.0,195.95,0.0,114746995,0,0,0.0
SBIN,2020-03-30,190.0,195.0,186.25,186.9,0.0,60083237,0,0,0.0
SBIN,2020-03-31,192.0,198.5,188.05,196.85,0.0,59543906,0,0,0.0
SBIN,2020-04-01,194.0,194.5,185.25,186.55,0.0,52954482,0,0,0.0
SBIN,2020-04-03,187.55,188.2,175.0,175.5,0.0,64455937,0,0,0.0
SBIN,2020-04-07,184.4,187.3,177.6,186.4,0.0,72133717,0,0,0.0
SBIN,2020-04-08,182.9,194.4,180.45,183.0,0.0,80436673,0,0,0.0
SBIN,2020-04-09,188.0,190.0,183.6,187.75,0.0,62417301,0,0,0.0
SBIN,2020-04-13,186.8,188.7,183.1,183.5,0.0,51847574,0,0,0.0
SBIN,2020-04-15,187.0,191.95,180.15,182.35,0.0,72190294,0,0,0.0
SBIN,2020-04-16,182.0,189.9,180.25,188.5,0.0,61165997,0,0,0.0
SBIN,2020-04-17,196.0,198.0,186.3,193.25,0.0,89858053,0,0,0.0
SBIN,2020-04-20,194.0,197.35,190.05,192.5,0.0,81961666,0,0,0.0
SBIN,2020-04-21,188.0,188.2,183.0,184.75,0.0,53043573,0,0,0.0
SBIN,2020-04-22,185.5,189.5,181.35,188.7,0.0,61503792,0,0,0.0
SBIN,2020-04-23,187.75,189.9,185.15,186.7,0.0,50957437,0,0,0.0
SBIN,2020-04-24,184.0,184.0,179.0,179.75,0.0,65146846,0,0,0.0
SBIN,2020-04-27,183.5,183.5,180.5,180.9,0.0,43003001,0,0,0.0
SBIN,2020-04-28,182.0,185.35,181.2,184.3,0.0,49590249,0,0,0.0
SBIN,2020-04-29,185.0,191.8,183.5,190.1,0.0,57470639,0,0,0.0
SBIN,2020-04-30,193.5,195.9,189.7,190.5,0.0,63069460,0,0,0.0
SBIN,2020-05-04,182.45,183.5,178.0,178.85,0.0,58122608,0,0,0.0
SBIN,2020-05-05,181.0,181.25,168.8,170.4,0.0,91050629,0,0,0.0
SBIN,2020-05-06,171.15,173.3,166.55,171.1,0.0,73156881,0,0,0.0
SBIN,2020-05-07,170.85,172.55,168.8,170.75,0.0,42944139,0,0,0.0
SBIN,2020-05-08,172.45,173.8,166.1,166.65,0.0,55935527,0,0,0.0
SBIN,2020-05-11,167.95,168.9,165.0,165.45,0.0,54594499,0,0,0.0
SBIN,2020-05-12,164.2,168.5,160.85,166.9,0.0,70752913,0,0,0.0
SBIN,2020-05-13,178.55,178.55,170.5,174.1,0.0,81721884,0,0,0.0
SBIN,2020-05-14,170.95,171.75,167.5,167.95,0.0,48137099,0,0,0.0
SBIN,2020-05-15,167.95,168.25,164.7,166.4,0.0,35498484,0,0,0.0
SBIN,2020-05-18,166.4,166.4,155.0,155.3,0.0,77350889,0,0,0.0
SBIN,2020-05-19,157.5,157.85,152.4,152.8,0.0,71522983,0,0,0.0
SBIN,2020-05-20,153.0,155.25,151.15,153.4,0.0,66178068,0,0,0.0
SBIN,2020-05-21,153.65,156.15,151.5,151.95,0.0,61150189,0,0,0.0
SBIN,2020-05-22,152.0,155.6,149.45,150.85,0.0,87069955,0,0,0.0
SBIN,2020-05-26,152.4,153.2,150.2,151.4,0.0,48281208,0,0,0.0
SBIN,2020-05-27,151.95,160.8,150.8,158.6,0.0,88206678,0,0,0.0
SBIN,2020-05-28,159.45,162.4,156.7,158.2,0.0,76970390,0,0,0.0
SBIN,2020-05-29,156.1,161.9,155.2,161.3,0.0,58368035,0,0,0.0
