Date,Open,High,Low,Close,Volume
2025-08-14,55102.55078125,55472.80078125,55074.30078125,55341.8515625,74200.0
2025-08-18,55940.6015625,56156.30078125,55647.6484375,55734.8984375,101700.0
2025-08-19,55622.30078125,55965.55078125,55608.1484375,55865.1484375,89300.0
2025-08-20,55751.5,55812.6015625,55577.3515625,55698.5,69100.0
2025-08-21,55972.05078125,55993.6484375,55708.19921875,55755.44921875,70300.0
2025-08-22,55669.25,55745.0,55102.6015625,55149.3984375,77100.0
2025-08-25,55147.75,55306.0,55048.3984375,55139.30078125,79900.0
2025-08-26,54999.05078125,55068.8984375,54396.1015625,54450.44921875,123800.0
2025-08-28,54256.0,54382.25,53768.44921875,53820.3515625,134300.0
2025-08-29,53660.3515625,54086.0,53606.44921875,53655.6484375,103900.0
2025-09-01,53658.1484375,54035.8515625,53658.1484375,54002.44921875,78000.0
2025-09-02,54038.25,54160.94921875,53578.0,53661.0,77500.0
2025-09-03,53630.75,54136.1484375,53561.75,54067.55078125,100100.0
2025-09-04,54379.6015625,54450.55078125,53971.8515625,54075.44921875,120000.0
2025-09-05,54308.05078125,54308.05078125,53719.55078125,54114.55078125,79900.0
2025-09-08,54215.3984375,54518.69921875,54067.1484375,54186.8984375,76300.0
2025-09-09,54330.55078125,54350.6484375,54079.44921875,54216.1015625,93800.0
2025-09-10,54554.75,54705.19921875,54400.0,54536.0,116900.0
2025-09-11,54413.05078125,54757.44921875,54402.3984375,54669.6015625,96900.0
2025-09-12,54781.55078125,54852.25,54580.3515625,54809.30078125,80100.0
2025-09-15,54884.05078125,55018.69921875,54807.5,54887.8515625,72000.0
2025-09-16,54778.3984375,55185.44921875,54777.75,55147.6015625,98700.0
2025-09-17,55158.3515625,55540.75,55146.55078125,55493.30078125,155300.0
2025-09-18,55797.1015625,55835.25,55490.8984375,55727.44921875,134300.0
2025-09-19,55647.94921875,55688.75,55355.30078125,55458.8515625,190000.0
2025-09-22,55429.30078125,55666.3515625,55215.6015625,55284.75,118600.0
2025-09-23,55248.69921875,55662.0,55159.0,55509.75,171200.0
2025-09-24,55387.1015625,55511.1015625,55040.44921875,55121.5,172000.0
2025-09-25,55061.6484375,55276.6484375,54903.30078125,54976.19921875,158400.0
2025-09-26,54797.8984375,54897.0,54310.94921875,54389.3515625,127700.0
2025-09-29,54460.3984375,54686.05078125,54226.6015625,54461.0,218300.0
2025-09-30,54705.5,54793.05078125,54502.94921875,54635.8515625,206900.0
2025-10-01,54653.8984375,55406.75,54582.55078125,55347.94921875,173000.0
2025-10-03,55182.6015625,55616.44921875,55177.0,55589.25,156900.0
2025-10-06,55834.69921875,56164.19921875,55727.25,56104.8515625,162600.0
2025-10-07,56126.3984375,56502.44921875,56025.05078125,56239.3515625,153700.0
2025-10-08,56098.5,56303.6015625,55821.0,56018.25,133600.0
2025-10-09,55979.0,56286.25,55843.8984375,56192.05078125,118000.0
2025-10-10,56168.6015625,56760.25,56152.44921875,56609.75,163000.0
2025-10-13,56337.05078125,56770.8984375,56327.3984375,56625.0,123500.0
2025-10-14,56598.6484375,56721.30078125,56230.1484375,56496.44921875,129800.0
2025-10-15,56528.94921875,56922.69921875,56491.8515625,56799.8984375,123700.0
2025-10-16,57139.94921875,57525.80078125,56994.69921875,57422.55078125,148600.0
2025-10-17,57362.8984375,57830.19921875,57238.6484375,57713.3515625,147200.0
